datetime,ERCOT.LOAD,ERCOT.PVGR.GEN,ERCOT.WIND.GEN,NET_LOAD,scenario
2025-07-17 09:00:00,59770.407144097226,14878.33595703125,9460.56540798611,35431.50577907987,baseline
2025-07-17 10:00:00,63740.66246202257,21672.501302625868,7892.564110514323,34175.59704888238,baseline
2025-07-17 11:00:00,65661.38707682291,23695.945609809027,5786.535779758029,36178.90568725586,baseline
2025-07-17 12:00:00,68582.206953125,25001.40854817708,4741.169805230034,38839.628599717886,baseline
2025-07-17 13:00:00,72175.92884982639,25915.547789713542,4847.740020073785,41412.64104003907,baseline
2025-07-17 14:00:00,75167.71637152777,26983.059581163197,5393.190117730035,42791.46667263455,baseline
2025-07-17 15:00:00,77153.30499131944,26607.116573350693,6687.678636610243,43858.5097813585,baseline
2025-07-17 16:00:00,78153.45219184028,25750.55368706597,9041.630231662326,43361.26827311198,baseline
2025-07-17 17:00:00,78711.72286458334,24498.0219921875,11710.440617404514,42503.26025499133,baseline
2025-07-17 18:00:00,78467.08107638889,22052.14115342882,13635.400733778211,42779.53918918186,baseline
2025-07-17 19:00:00,77405.48145399305,17589.16152235243,14838.477234157986,44977.84269748264,baseline
2025-07-17 20:00:00,75806.80723090278,7619.264146050347,15265.724444444444,52921.81864040799,baseline
2025-07-17 21:00:00,73329.24690538195,436.6342991233038,14452.68879014757,58439.92381611108,baseline
2025-07-17 22:00:00,71070.76719401042,0.1931977735873725,14982.60357014974,56087.97042608709,baseline
2025-07-17 23:00:00,67478.2056640625,0.154130816327201,15942.644479166667,51535.4070540795,baseline
2025-07-18 00:00:00,63552.390598958336,0.3567635199220644,17138.242270507813,46413.7915649306,baseline
2025-07-18 01:00:00,59556.344522569445,0.6544636077185472,17197.959505208335,42357.73055375339,baseline
2025-07-18 02:00:00,57034.42075520833,0.5582848834329182,17486.624479166665,39547.23799115823,baseline
2025-07-18 03:00:00,55208.63042100694,0.313012722366386,17924.38691840278,37283.93048988179,baseline
2025-07-18 04:00:00,53593.631575520834,0.5156348572836982,17045.314835069443,36547.8011055941,baseline
2025-07-18 05:00:00,52795.09539930556,0.2365618853436576,15040.80614908854,37754.05268833168,baseline
2025-07-18 06:00:00,53196.06798394097,0.2408842227525181,13303.253445095486,39892.573654622734,baseline
2025-07-18 07:00:00,53962.17346788194,67.70931878848208,11405.948397352431,42488.51575174103,baseline
2025-07-18 08:00:00,54833.23902126736,3777.0129099528,9861.397904730902,41194.82820658366,baseline
2025-07-18 09:00:00,58401.67654079861,13465.70248046875,7009.387865668403,37926.58619466146,baseline
2025-07-18 10:00:00,63448.43580729167,19717.126493055555,6468.538980034722,37262.770334201385,baseline
2025-07-18 11:00:00,65949.60198567709,22923.683608940973,6949.671931966146,36076.24644476997,baseline
2025-07-18 12:00:00,68729.6026953125,23359.97301215278,8591.320851236978,36778.30883192274,baseline
2025-07-18 13:00:00,72634.65889756945,24955.690434027776,10068.474548611111,37610.49391493056,baseline
2025-07-18 14:00:00,75817.31194444445,24627.15316623264,11388.184832085504,39801.9739461263,baseline
2025-07-18 15:00:00,78305.7501171875,24309.321796875,13405.12384657118,40591.30447374132,baseline
2025-07-18 16:00:00,79055.73829427084,22794.688146701388,14710.507848307292,41550.54229926215,baseline
2025-07-18 17:00:00,78500.70730034722,21895.011484375,15530.93439236111,41074.761423611104,baseline
2025-07-18 18:00:00,77965.46000868056,19690.822838541662,16227.43279622396,42047.20437391494,baseline
2025-07-18 19:00:00,77365.64370225694,16334.962174479168,17056.43992513021,43974.24160264757,baseline
2025-07-18 20:00:00,75423.0759765625,8856.414113769531,18864.424991319444,47702.23687147352,baseline
2025-07-18 21:00:00,72818.40784722222,971.0022343469412,19502.902354600694,52344.50325827458,baseline
2025-07-18 22:00:00,70688.766875,0.2255365333292219,21679.27241753472,49009.26892093195,baseline
2025-07-18 23:00:00,67445.89486979166,0.2891498422788249,23219.00307942708,44226.6026405223,baseline
2025-07-19 00:00:00,63875.13432291667,0.2663600546783871,23278.963272569443,40595.90469029255,baseline
2025-07-19 01:00:00,60613.95568359375,0.2714860792954763,23510.15062065972,37103.53357685473,baseline
2025-07-19 02:00:00,58035.21523003472,0.4076142769224113,23226.098174913197,34808.70944084461,baseline
2025-07-19 03:00:00,55907.87840060764,0.4121826830837461,22291.338044704866,33616.128173219695,baseline
2025-07-19 04:00:00,54445.40377604167,0.4935683929920196,21802.35173611111,32642.558471537566,baseline
2025-07-19 05:00:00,53785.467473958335,0.6286760057674514,21657.343619791667,32127.4951781609,baseline
2025-07-19 06:00:00,53199.4363172743,0.588392345474826,20557.74841145833,32641.099513470494,baseline
2025-07-19 07:00:00,53229.86661458333,57.27692286507951,20020.62488498264,33151.96480673562,baseline
2025-07-19 08:00:00,53996.86720486111,3796.5102591620553,19016.481786024306,31183.87515967475,baseline
2025-07-19 09:00:00,59353.77317491319,14942.993694661458,17297.890711805554,27112.88876844618,baseline
2025-07-19 10:00:00,64492.87140625,19936.202866210937,19746.02113172743,24810.647408311637,baseline
2025-07-19 11:00:00,67019.48716145834,22367.744539930554,20330.40389322917,24321.338728298622,baseline
2025-07-19 12:00:00,69644.26069444444,23730.22459201389,20398.371575520832,25515.66452690972,baseline
2025-07-19 13:00:00,72792.15665798611,24399.68527560764,19362.86786458333,29029.60351779514,baseline
2025-07-19 14:00:00,75414.83076822916,25566.46556423611,17443.352669270833,32405.01253472222,baseline
2025-07-19 15:00:00,77011.47213541667,25837.369450954862,16361.386373697916,34812.71631076389,baseline
2025-07-19 16:00:00,77867.82373263889,24698.073585069444,16683.35373155382,36486.39641601563,baseline
2025-07-19 17:00:00,78394.08508246527,23733.47462673611,17281.258307291668,37379.35214843749,baseline
2025-07-19 18:00:00,77876.11111979166,22020.309405381944,18933.415652126736,36922.38606228298,baseline
2025-07-19 19:00:00,77032.49855034723,17607.33250217014,20797.373350694445,38627.79269748264,baseline
2025-07-19 20:00:00,75368.0833203125,8678.341269259983,22159.22221137153,44530.51983968098,baseline
2025-07-19 21:00:00,72744.70060112847,808.3955054544575,22165.65663519965,49770.64846047436,baseline
2025-07-19 22:00:00,70897.42994357638,0.2149150511291292,23763.478656684027,47133.73637184122,baseline
2025-07-19 23:00:00,68011.74012152778,0.279102355506685,25602.99203559028,42408.46898358199,baseline
2025-07-20 00:00:00,64697.36847439236,0.2762106078697575,26585.461267361112,38111.63099642338,baseline
2025-07-20 01:00:00,62031.6561436632,0.2988751229974958,26358.22486328125,35673.13240525895,baseline
2025-07-20 02:00:00,59035.98078776042,0.2387508588863743,25879.83624565972,33155.90579124181,baseline
2025-07-20 03:00:00,56974.14955295139,0.233679702265395,25053.186004774307,31920.72986847482,baseline
2025-07-20 04:00:00,55542.26146918403,0.2263993240396181,24430.88968532986,31111.14538453013,baseline
2025-07-20 05:00:00,54800.476927083335,0.2565761312759584,23693.890416666665,31106.329934285397,baseline
2025-07-20 06:00:00,53891.00451931424,0.2599833691575461,23104.289140082463,30786.455395862613,baseline
2025-07-20 07:00:00,53569.41344184028,58.258794758750334,23003.485655381945,30507.668991699586,baseline
2025-07-20 08:00:00,53941.715729166666,3635.162283698188,22058.257918836807,28248.29552663167,baseline
2025-07-20 09:00:00,59120.7784906684,12894.125053710935,21090.35291937934,25136.30051757812,baseline
2025-07-20 10:00:00,64816.10977647569,19150.124876302085,21813.024279513887,23852.96062065972,baseline
2025-07-20 11:00:00,66617.2955642361,21730.146809895832,20473.927723524303,24413.22103081597,baseline
2025-07-20 12:00:00,68666.0390451389,23724.03680989583,18414.66074869792,26527.34148654515,baseline
2025-07-20 13:00:00,71474.5624826389,25352.52173611111,17349.35593967014,28772.68480685765,baseline
2025-07-20 14:00:00,74138.42576822916,25222.516605902776,17112.857408854168,31803.051753472217,baseline
2025-07-20 15:00:00,76079.56358072917,24864.840828993056,16935.05013671875,34279.67261501736,baseline
2025-07-20 16:00:00,77250.48467881944,23454.19816623264,16935.703643663193,36860.58286892361,baseline
2025-07-20 17:00:00,77789.06064236112,22350.34993272569,16898.43982421875,38540.27088541667,baseline
2025-07-20 18:00:00,77746.47952690972,19957.655342881942,17581.959466145832,40206.864717881945,baseline
2025-07-20 19:00:00,77228.2094140625,15391.317201605903,20049.530601128477,41787.36161132812,baseline
2025-07-20 20:00:00,75542.33542100694,6400.284012586805,23552.003708767363,45590.04769965277,baseline
