datetime,Date,ERCOT.LOAD,ERCOT.WIND.GEN,"Total Wind Installed, MW","Wind Output, % of Load","Wind Output, % of Installed",Wind 1-hr MW change,Wind 1-hr % change,ERCOT.PVGR.GEN,"Total Solar Installed, MW","Solar Output, % of Load","Solar Output, % of Installed",Solar 1-hr MW change,Solar 1-hr % change,Daytime Hour,Ramping Daytime Hour,hour,month,renewable,renewable_capacity,renewable_share,NET_LOAD
2023-01-01 01:00:00,2023-01-01,35829.306163194444,21753.284476996527,36858,60.7136637754446,59.019166739911356,,,0.4497464536627134,14249,0.001255247454735013,0.0031563369616303834,,,False,False,1,1,21753.73422345019,51107,0.6071491902289934,14075.571939744255
2023-01-01 02:00:00,2023-01-01,35245.390234375,21570.395694444444,36858,61.20061531736633,58.522968404266216,-182.88878255208328,-0.8407410050904401,0.45473294615745546,14249,0.0012901912651089112,0.003191332347234581,0.0,0.0,False,False,2,1,21570.8504273906,51107,0.6120190550863144,13674.539806984401
2023-01-01 03:00:00,2023-01-01,34599.761809895834,21036.504012586807,36858,60.79956309574993,57.07445876766728,-533.8916818576363,-2.4751130643150074,0.4435279133584764,14249,0.0012818814065697515,0.0031126950197099897,0.0,0.0,False,False,3,1,21036.947540500165,51107,0.608008449771565,13562.814269395669
2023-01-01 04:00:00,2023-01-01,34227.15106119792,20595.481514756946,36858,60.17293545095927,55.87791392576088,-441.0224978298611,-2.0964628797921145,0.4585667176379098,14249,0.0013397747210043733,0.0032182378948551462,0.0,0.0,False,False,4,1,20595.940081474582,51107,0.6017427522568027,13631.210979723335
2023-01-01 05:00:00,2023-01-01,34093.41414279514,20387.8435546875,36858,59.79994690263663,55.31456822043383,-207.6379600694454,-1.008172398983097,0.45112647033400005,14249,0.0013232070817094605,0.003166021968797811,0.0,0.0,False,False,5,1,20388.294681157833,51107,0.5980127010971833,13705.119461637307
2023-01-01 06:00:00,2023-01-01,34256.786032986114,20057.685128038196,36858,58.55098347149234,54.41881037505615,-330.1584266493046,-1.6193886605206746,0.4557228226131863,14249,0.0013303140060318777,0.003198279336186303,0.0,0.0,False,False,6,1,20058.14085086081,51107,0.5855231378549838,14198.645182125303
2023-01-01 07:00:00,2023-01-01,34747.34818576389,19481.80831814236,36858,56.06703629292817,52.856390249450214,-575.8768098958353,-2.8711030521205547,0.4494718057910601,14249,0.0012935427572433004,0.0031544094728827294,0.0,0.0,False,False,7,1,19482.25778994815,51107,0.5606832983568542,15265.09039581574
2023-01-01 08:00:00,2023-01-01,35260.22500217014,17942.95841579861,36858,50.88724877590624,48.681313190619704,-1538.8499023437507,-7.898906904400155,41.984219797849654,14249,0.11906963099431633,0.2946467808116335,41.5,9233.059663655866,True,True,8,1,17984.94263559646,51107,0.5100631840690055,17275.28236657368
2023-01-01 09:00:00,2023-01-01,35986.934774305555,16437.780594618056,36858,45.677078911301244,44.59759236697069,-1505.177821180554,-8.388682547774613,1251.9780247158474,14249,3.478979336716813,8.786427291149185,1210.0,2882.035216626733,True,True,9,1,17689.758619333905,51107,0.4915605824801806,18297.17615497165
2023-01-01 10:00:00,2023-01-01,36670.756616753475,13976.910130208333,36858,38.11459435179152,37.920967307527086,-2460.8704644097234,-14.970819510849564,4559.0098369683155,14249,12.432276444728378,31.995296771480913,3307.0,264.14201645037394,True,True,10,1,18535.919967176647,51107,0.5054687079651989,18134.836649576828
2023-01-01 11:00:00,2023-01-01,36898.052315538196,10277.494828559027,36858,27.853759707070108,27.884027425685137,-3699.4153016493055,-26.468048139293316,6094.182300347222,14249,16.51627096257569,42.769192928256174,1535.2,33.67397866859811,True,True,11,1,16371.677128906249,51107,0.443700306696458,20526.375186631947
2023-01-01 12:00:00,2023-01-01,37254.95149956597,9406.459214409722,36858,25.248883264602583,25.520807462178418,-871.0356141493048,-8.475174433840408,6107.382986111111,14249,16.393479900738196,42.86183582083733,13.2,0.2166000186644879,True,True,12,1,15513.842200520834,51107,0.41642363165340784,21741.109299045136
2023-01-01 13:00:00,2023-01-01,37761.48627821181,9701.967154947917,36858,25.69275765118892,26.32255454703977,295.5079405381948,3.1415427824904323,6355.8132953559025,14249,16.831470161234556,44.605328762410714,248.4,4.067208501004278,True,True,13,1,16057.78045030382,51107,0.42524227812423476,21703.705827907987
2023-01-01 14:00:00,2023-01-01,38076.284678819444,8285.816291232639,36858,21.761094500487754,22.480374114799066,-1416.1508637152783,-14.596533271018691,6433.322495117188,14249,16.895877708089067,45.14929114406055,77.5,1.2193561452887247,True,True,14,1,14719.138786349828,51107,0.38656972208576823,23357.145892469616
2023-01-01 15:00:00,2023-01-01,38768.311968315975,7609.220030924479,36858,19.627421583749214,20.644690517457484,-676.5962603081598,-8.16571640653049,6460.986927625868,14249,16.665639022163806,45.34344113710343,27.7,0.43057067356756884,True,True,15,1,14070.206958550347,51107,0.3629306060591302,24698.105009765626
2023-01-01 16:00:00,2023-01-01,39557.958658854164,8444.432182617187,36858,21.34698672254942,22.91071730049701,835.2121516927082,10.976317523981947,5359.625499674479,14249,13.548791902776427,37.61404659747687,-1101.4,-17.046931255821573,True,True,16,1,13804.057682291666,51107,0.34895778625325846,25753.900976562498
2023-01-01 17:00:00,2023-01-01,39785.89322265625,9372.79753580729,36858,23.558092521270606,25.42947945034264,928.3653531901036,10.993816198810125,2615.4476972113716,14249,6.573806656983621,18.355307019519767,-2744.2,-51.20133860409969,True,True,17,1,11988.245233018662,51107,0.3013189917825423,27797.647989637582
2023-01-01 18:00:00,2023-01-01,40468.36826605903,10977.487481553819,36858,27.126093667484685,29.78318813162358,1604.6899457465279,17.120714915862244,325.3010847622156,14249,0.8038403787954229,2.2829748386708935,-2290.1,-87.56053514057031,True,True,18,1,11302.788566316034,51107,0.279299340462801,29165.579699742993
2023-01-01 19:00:00,2023-01-01,41843.91463758681,16129.331305338541,36858,38.546420536978566,43.76073391214537,5151.843823784722,46.93099247383974,0.3743653193447325,14249,0.000894670880072139,0.0026273094206241314,-324.9,-99.87670352759235,False,True,19,1,16129.705670657886,51107,0.3854731520785864,25714.20896692892
2023-01-01 20:00:00,2023-01-01,41403.82979817708,20218.68681640625,36858,48.83289037502621,54.855626502811475,4089.35551106771,25.35353409049389,0.44594471510913636,14249,0.0010770615116594126,0.0031296562222551502,0.1,26.71187602928451,False,False,20,1,20219.13276112136,51107,0.48833967436537873,21184.69703705572
2023-01-01 21:00:00,2023-01-01,40940.42799696181,21557.02271484375,36858,52.65461005059229,58.48668597005739,1338.3358984375009,6.619301790418562,0.4370598396990034,14249,0.0010675507342801538,0.0030673018436311564,0.0,0.0,False,False,21,1,21557.45977468345,51107,0.5265567760132657,19382.968222278356
2023-01-01 22:00:00,2023-01-01,40171.69482204861,22515.56263997396,36858,56.04832641418973,61.087315209653156,958.5399251302078,4.4465320550512555,0.4398251748416159,14249,0.0010948633777836372,0.003086709066191423,0.0,0.0,False,False,22,1,22516.002465148802,51107,0.5604942127756752,17655.692356899806
2023-01-01 23:00:00,2023-01-01,39040.25204861111,23885.123192274306,36858,61.18076072494014,64.80309075987385,1369.560552300347,6.08272852959419,0.44124028944306903,14249,0.0011302188543600004,0.0030966403919086886,0.0,0.0,False,False,23,1,23885.564432563748,51107,0.611818909437945,15154.687616047362
2023-01-02 00:00:00,2023-01-02,37531.37162977431,23565.571141493056,36858,62.788995227656606,63.93610923406874,-319.5520507812507,-1.3378706411052153,0.42867450210783214,14249,0.0011421764872769984,0.003008453239580547,0.0,0.0,False,False,0,1,23565.999815995165,51107,0.6279013740414389,13965.371813779144
2023-01-02 01:00:00,2023-01-02,36027.82513454861,22604.87896918403,36858,62.74283525237622,61.32964069994039,-960.6921723090272,-4.076676803379017,0.43073911908600065,14249,0.0011955734698871584,0.003022942796589239,0.0,0.0,False,False,1,1,22605.309708303113,51107,0.6274403082584611,13422.5154262455
2023-01-02 02:00:00,2023-01-02,35035.81462673611,21872.478229166667,36858,62.42891299143821,59.34255312053467,-732.4007400173614,-3.2400117736343668,0.4194575735595491,14249,0.0011972251195765196,0.0029437684999617454,0.0,0.0,False,False,2,1,21872.897686740227,51107,0.6243011021655779,13162.916939995881
2023-01-02 03:00:00,2023-01-02,34350.207369791664,21431.26439236111,36858,62.390494944168054,58.14548915394517,-441.21383680555664,-2.017210085582363,0.4304198651181327,14249,0.0012530342553234582,0.0030207022606367653,0.0,0.0,False,False,3,1,21431.69481222623,51107,0.6239174797842338,12918.512557565435
2023-01-02 04:00:00,2023-01-02,34014.536328125,20827.242643229165,36858,61.2304176141543,56.50670856592643,-604.0217491319454,-2.8184139679002835,0.426057190100352,14249,0.001252573858394964,0.0029900848487637867,0.0,0.0,False,False,4,1,20827.668700419264,51107,0.6123167018801269,13186.867627705738
2023-01-02 05:00:00,2023-01-02,34221.55439670139,20714.434537760415,36858,60.530373043946476,56.20064718042329,-112.80810546875,-0.5416372555942894,0.4350331801507208,14249,0.0012712256582730025,0.0030530786732452858,0.0,0.0,False,False,5,1,20714.869570940566,51107,0.6053164426960475,13506.684825760822
2023-01-02 06:00:00,2023-01-02,34954.52259548611,20829.76361328125,36858,59.591040204826385,56.51354824809065,115.32907552083634,0.5567570541720681,0.42992915911806956,14249,0.0012299671893490228,0.003017258468089477,0.0,0.0,False,False,6,1,20830.19354244037,51107,0.5959227017201574,14124.329053045738
2023-01-02 07:00:00,2023-01-02,36168.31922309028,21969.250546875,36858,60.74169609974458,59.605107566539154,1139.4869335937474,5.470474628272785,0.43542921039793225,14249,0.0012038967244016945,0.003055858027917273,0.0,0.0,False,False,7,1,21969.685976085395,51107,0.6074289999646898,14198.633247004884
2023-01-02 08:00:00,2023-01-02,37252.4741514757,21988.227816840277,36858,59.02487906556738,59.656595086115026,18.977269965278538,0.08638105303040457,10.226797548598713,14249,0.027452666652460704,0.0717720369752173,9.8,2250.6528652599873,True,True,8,1,21998.454614388877,51107,0.5905233173221984,15254.01953708682
2023-01-02 09:00:00,2023-01-02,38185.62622395833,19706.192222222224,36858,51.60630889394244,53.46516962999138,-2282.0355946180534,-10.378442563116865,664.1669465128581,14249,1.7393113906723052,4.661147775372714,653.9,6393.985965720012,True,True,9,1,20370.35916873508,51107,0.5334562028461475,17815.26705522325
2023-01-02 10:00:00,2023-01-02,40013.152235243055,17478.783758680554,36858,43.68259630213656,47.42195387346182,-2227.4084635416693,-11.303089092117308,3222.128001437717,14249,8.052672237604188,22.613011449489207,2558.0,385.1441288113662,True,True,10,1,20700.911760118273,51107,0.5173526853974075,19312.24047512478
2023-01-02 11:00:00,2023-01-02,41299.211495225696,16429.5412641059,36858,39.781731101585805,44.57523811412963,-1049.2424945746534,-6.002949112826938,4734.404242078993,14249,11.46366739381042,33.22622108273558,1512.3,46.934820693815084,True,True,11,1,21163.945506184893,51107,0.5124539849539622,20135.265989040803
2023-01-02 12:00:00,2023-01-02,42604.176905381944,17078.92143012153,36858,40.08743430967222,46.33708131239223,649.3801660156278,3.952515505921931,5255.343474934896,14249,12.335277563526919,36.88219155684537,520.9,11.002440293760383,True,True,12,1,22334.264905056425,51107,0.5242271187319913,20269.91200032552
2023-01-02 13:00:00,2023-01-02,43380.563096788195,19274.05515625,36858,44.43016360402434,52.29273198830647,2195.1337261284716,12.852882631434717,5274.112508680556,14249,12.157777889865704,37.013913317991125,18.8,0.35773113764429826,True,True,13,1,24548.167664930555,51107,0.5658794149389004,18832.39543185764
2023-01-02 14:00:00,2023-01-02,43914.948975694446,19428.950017361112,36858,44.24222382249477,52.71297959021409,154.89486111111182,0.8036443802584223,5348.34775499132,14249,12.17887730656698,37.53489897530577,74.2,1.40687176994946,True,True,14,1,24777.29777235243,51107,0.5642110112906175,19137.651203342015
2023-01-02 15:00:00,2023-01-02,44219.743600260415,19861.012936197916,36858,44.91435571345319,53.88521606217894,432.0629188368039,2.2238099251412233,4883.679010416667,14249,11.044114263900676,34.27383683357896,-464.7,-8.68866463603308,True,True,15,1,24744.691946614585,51107,0.5595846997735388,19475.05165364583
2023-01-02 16:00:00,2023-01-02,44682.43539496528,20618.909038628473,36858,46.14544587010529,55.941475496848646,757.8961024305572,3.815999238635231,3996.195641004774,14249,8.943549306748523,28.045446283983257,-887.5,-18.1727750351119,True,True,16,1,24615.10467963325,51107,0.5508899517685383,20067.33071533203
2023-01-02 17:00:00,2023-01-02,44971.21763237847,21884.31538628472,36858,48.66293718168841,59.37466869142308,1265.4063476562478,6.137115912803988,2643.7279686143665,14249,5.878711113018496,18.553778992310804,-1352.5,-33.844689337080034,True,True,17,1,24528.043354899088,51107,0.5454164829470691,20443.174277479386
2023-01-02 18:00:00,2023-01-02,45929.30251302083,23255.903617621527,36858,50.634131905287575,63.09594556845604,1371.5882313368056,6.267448659583858,533.7636638483074,14249,1.1621418890412865,3.7459727970265098,-2110.0,-79.81153980475138,True,True,18,1,23789.667281469836,51107,0.5179627379432886,22139.635231550998
2023-01-02 19:00:00,2023-01-02,46499.27720703125,21955.31255859375,36858,47.216459862033815,59.567292198691604,-1300.591059027778,-5.592519991535787,0.8151235099633535,14249,0.0017529810330903315,0.005720566425456899,-532.9,-99.8381935851383,False,True,19,1,21956.127682103714,51107,0.4721821284306691,24543.149524927536
2023-01-02 20:00:00,2023-01-02,45772.544309895835,20821.991551649306,36858,45.4901335846163,56.49246174955045,-1133.321006944443,-5.161944308102498,1.2577170972029368,14249,0.002747754393305647,0.00882670431049854,0.4,49.07231788934456,False,False,20,1,20823.24926874651,51107,0.45492881339009617,24949.295041149326
2023-01-02 21:00:00,2023-01-02,44636.07935329861,20367.683671875,36858,45.630539166898906,55.25987213596776,-454.30787977430737,-2.181865642618233,1.2471969966755974,14249,0.00279414548666768,0.00875287386255595,0.0,0.0,False,False,21,1,20368.930868871674,51107,0.4563333331238557,24267.14848442694
2023-01-02 22:00:00,2023-01-02,43393.901907552085,20157.067688802083,36858,46.4513832652003,54.6884467111674,-210.6159830729157,-1.0340693937806376,1.287440078523424,14249,0.0029668686657084494,0.009035301273937988,0.0,0.0,False,False,22,1,20158.355128880605,51107,0.46454350133866007,23235.54677867148
2023-01-02 23:00:00,2023-01-02,41402.1465234375,20956.166030815973,36858,50.616134163364734,56.856492568278185,799.0983420138909,3.964358081993327,1.2626001834869385,14249,0.0030496007804140983,0.00886097398755659,0.0,0.0,False,False,23,1,20957.42863099946,51107,0.5061918376414515,20444.71789243804
